PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
14408,"James Reimer",7000,G,OTT,CAR,8405240,446889,,,C,0,0,0,0,0.4587,25.4537,3.2797,0.0424,0,0,0,0,10.71,1.53,8.58,10.8,100,1.82,21.69,11.3,,14408,0,8.19,,163,2050,30203,1,
16904,"Nikita Zadorov",2800,D,BOS,MTL,8405230,741448,2,,,0.0802,0.2381,1.2488,1.3038,0,0,0,0,0,0,0.3183,0,6.1,2.18,5.54,7.84,101,0.36,13.19,0.7,,16904,2.643,5.31,21.1,160,2153,30682,1,
2296000,"Anton Lundell",4600,C,FLA,MIN,8405220,1248081,1,2,,0.2501,0.3901,2.1938,0.6182,0,0,0,0,0.0251,0.067,0.6402,0.0921,8.71,1.89,7.17,10.27,102,1.28,17.89,4.7,,2296000,1.273,6.56,18.7,166,2047,158644,0,
18811,"Connor Hellebuyck",7800,G,WPG,DET,8405170,681454,,,C,0,0,0,0,0.5556,23.0457,2.8382,0.0676,0,0,0,0,10.74,1.38,7.43,9.73,103,3.04,20.25,8,,18811,0,8.65,,169,53599,30574,1,
1287130,"Brandon Duhaime",2500,W,WSH,EDM,8405210,920429,4,,,0.0782,0.1039,0.7806,0.5339,0,0,0,0,0,0,0.1821,0,3.27,1.31,4.47,6.32,104,0,8.99,0,,1287130,1.702,3.05,10,168,2232,92011,0
14293,"Jeff Petry",2500,D,FLA,MIN,8405220,542700,3,,,0.0394,0.1738,0.7894,1.1341,0,0,0,0,0,0,0.2132,0,4.34,1.74,4.74,6.74,105,0,10.41,0,,14293,1.24,3.48,13.5,166,2047,30496,0
14383,"Drew Doughty",3500,D,LAK,STL,8405190,456625,1,2,,0.0837,0.3101,1.3129,1.2531,0,0,0,0,0.0171,0.0686,0.3938,0.0857,6.46,1.85,5.95,8.57,106,0.3,14.08,2,,14383,1.077,4.89,22.2,182,2054,29920,0,
37674,"Mason Marchment",4100,W,CBJ,TBL,8405200,895218,1,2,,0.2368,0.3407,1.8223,0.4258,0,0,0,0,0.0212,0.0354,0.5775,0.0566,7.37,1.8,6.82,9.75,107,0.3,16.1,6,,37674,1.47,5.8,17,171,2023,82868,1,
31676,"Curtis Lazar",2500,C,EDM,WSH,8405210,741449,4,,,0.0677,0.0917,0.6316,0.3784,0,0,0,0,0,0,0.1594,0,2.64,1.06,4.41,6.27,108,0,8.28,0.7,,31676,1.755,2.66,8.4,177,1953,30738,1,
2295911,"Jake Sanderson",6400,D,OTT,CAR,8405240,1248071,1,1,,0.1326,0.5521,1.9398,2.3202,0,0,0,0,0.0668,0.2553,0.6847,0.3221,11.37,1.78,7.27,10.58,109,3.84,20.68,6,,2295911,0.676,7.76,24.8,163,2050,158608,1,
2296243,"Jake Neighbours",3800,W,STL,LAK,8405190,1248093,2,1,,0.2911,0.2653,1.4981,0.6401,0,0,0,0,0.0797,0.0726,0.5564,0.1523,7.24,1.91,7.07,10.05,110,0,16.29,3,,2296243,2.234,6.14,17,174,1944,158699,1,
14471,"Erik Gudbranson",2600,D,CBJ,TBL,8405200,550753,2,,,0.0414,0.2025,1.1067,1.955,0,0,0,0,0,0,0.2439,0,6.56,2.52,5.26,7.4,111,1.11,13.29,1.3,,14471,1.563,4.9,20.8,171,2023,30006,1,
14403,"Travis Hamonic",2500,D,DET,WPG,8405170,521878,3,,,0.0419,0.1224,1.0242,1.6197,0,0,0,0,0,0,0.1643,0,5.38,2.15,4.81,6.67,112,0.4,11.54,0.3,,14403,1.224,4,17.3,172,2075,30770,0,
2299614,"Brock Faber",5400,D,MIN,FLA,8405220,1248160,1,2,,0.1582,0.3847,2.0733,1.8847,0,0,0,0,0.0318,0.0821,0.5429,0.1139,10.03,1.86,6.61,9.42,113,3.18,18.49,5,,2299614,0.694,6.85,25.2,178,1938,158522,1,
4784123,"Nikolas Matinpalo",2500,D,OTT,CAR,8405240,1447084,3,,,0.0222,0.1123,0.6143,1.1987,0,0,0,0,0,0,0.1345,0,3.74,1.5,4.55,6.42,114,0,9.56,0.3,,4784123,0.921,2.86,13.7,163,2050,265876,1,
31680,"Colton Parayko",3800,D,STL,LAK,8405190,680852,1,,,0.0728,0.2226,1.299,2.2852,0,0,0,0,0,0,0.2954,0,7.93,2.09,5.31,7.44,115,2.43,14.73,1.7,,31680,1.307,5.56,21.8,174,1944,30565,1,
2299114,"Gage Goncalves",2900,W,TBL,CBJ,8405200,1248183,2,2,,0.1445,0.2537,1.0504,0.4373,0,0,0,0,0.0171,0.0351,0.3982,0.0522,4.86,1.68,5.52,7.96,116,0,11.93,4,,2299114,1.135,3.96,13.4,167,2218,158693,0,
2295913,"Ridly Greig",3200,W,OTT,CAR,8405240,1248095,2,,,0.1731,0.1905,1.341,0.702,0,0,0,0,0,0,0.3636,0,5.68,1.78,5.73,8.08,117,0,13.01,1.3,,2295913,1.545,4.62,15.2,163,2050,158610,1,
18464,"Damon Severson",3200,D,CBJ,TBL,8405200,660810,1,2,,0.0911,0.3563,1.3048,1.5524,0,0,0,0,0.0136,0.056,0.4474,0.0696,7.3,2.28,6.02,8.65,118,1.06,15.01,3.3,,18464,0.868,5.3,22.4,171,2023,29980,1,
2296497,"Quinton Byfield",4800,C,LAK,STL,8405190,1207494,2,2,,0.2451,0.4158,2.0108,0.4095,0,0,0,0,0.032,0.0546,0.6609,0.0866,8.13,1.69,7.16,10.26,119,0.71,17.29,3,,2296497,0.941,6.07,19,182,2054,158524,0,
17276,"Nino Niederreiter",2700,W,WPG,DET,8405170,550755,3,2,,0.211,0.2136,1.6388,0.4067,0,0,0,0,0.0315,0.0445,0.4246,0.076,6.13,2.27,6.4,9.06,120,0,14.32,2.3,,17276,1.523,4.97,14.1,169,53599,30295,1,
17253,"Vladimir Tarasenko",4400,W,MIN,FLA,8405220,550766,3,2,,0.1976,0.2665,1.6457,0.4024,0,0,0,0,0.0385,0.055,0.4641,0.0935,6.3,1.43,6.08,8.68,121,0,14.08,1,,17253,0.792,4.74,13,178,1938,30570,1,
14373,"Luke Schenn",2500,D,WPG,DET,8405170,456628,3,,,0.0316,0.1325,0.9725,1.1885,0,0,0,0,0,0,0.1641,0,4.45,1.78,4.61,6.47,122,0,10.35,0,,14373,3.05,4.41,14.5,169,53599,29838,1
2295968,"Seth Jarvis",7000,W,CAR,OTT,8405240,1248085,1,1,,0.4177,0.4306,2.6087,0.5985,0,0,0,0,0.1229,0.1341,0.8483,0.257,11.22,1.6,8.82,12.52,123,2.08,22.51,5,,2295968,1.322,8.23,18.6,165,2181,158546,0,
34466,"Jaccob Slavin",2800,D,CAR,OTT,8405240,681436,1,,,0.0594,0.2843,1.2213,1.5652,0,0,0,0,0,0,0.3437,0,6.63,2.37,5.39,7.67,124,1.05,13.53,1.7,,34466,0.57,4.57,19.7,165,2181,30416,0,
14129,"Charlie Coyle",3800,C,CBJ,TBL,8405200,550778,3,1,,0.2073,0.3685,1.639,0.6553,0,0,0,0,0.0465,0.098,0.5758,0.1445,7.33,1.93,7.03,10.17,125,0.05,16.33,6.3,,14129,1.333,5.75,18.3,171,2023,30578,1,
