,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Brayden Schenn,STL,C,0.14,0.22,0.36,-0.07,0.76,1.31,0.03,0.03,0.04,0.00,0.00,1.90,0.47
Jaden Schwartz,SEA,LW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nick Seeler,PHI,D,0.01,0.19,0.20,0.05,0.52,1.24,0.01,0.00,0.00,0.00,0.02,1.59,2.22
Beckett Sennecke,ANA,RW,0.25,0.46,0.70,0.06,0.86,1.75,0.00,0.00,0.15,0.03,0.00,0.82,0.22
Damon Severson,CBJ,D,0.04,0.18,0.21,-0.01,0.50,1.01,0.01,0.01,0.00,0.00,0.00,0.60,1.31
Kiefer Sherwood,VAN,LW,0.27,0.22,0.49,0.02,0.53,1.80,0.06,0.04,0.04,0.01,0.01,5.29,0.35
Cole Sillinger,CBJ,C,0.11,0.24,0.35,-0.09,0.37,1.67,0.02,0.02,0.02,0.02,0.02,1.01,0.54
Brendan Smith,CBJ,D,0.01,0.11,0.12,-0.12,0.65,0.63,0.00,0.00,0.00,0.03,0.00,0.97,0.75
Jimmy Snuggerud,STL,RW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Otto Stenberg,STL,C,0.02,0.22,0.25,0.24,0.06,0.43,0.00,0.00,0.01,0.00,0.00,0.58,0.30
Chandler Stephenson,SEA,C,0.22,0.56,0.78,-0.19,0.32,1.27,0.03,0.08,0.23,0.01,0.00,0.43,0.73
Ryan Strome,ANA,C,0.08,0.20,0.29,-0.06,0.48,0.99,0.01,0.01,0.06,0.00,0.00,0.33,0.21
Oskar Sundqvist,STL,C,0.07,0.18,0.25,-0.22,0.52,0.75,0.00,0.02,0.03,0.00,0.00,1.17,0.60
Pius Suter,STL,LW,0.19,0.18,0.36,-0.01,0.31,1.49,0.04,0.02,0.02,0.01,0.02,0.74,0.43
Troy Terry,ANA,RW,0.22,0.45,0.68,0.06,0.22,2.11,0.03,0.07,0.14,0.02,0.03,0.06,0.31
Robert Thomas,STL,C,0.26,0.62,0.88,0.21,0.38,1.87,0.03,0.05,0.18,0.02,0.00,0.19,0.58
Owen Tippett,PHI,RW,0.26,0.36,0.62,-0.13,0.28,2.33,0.03,0.02,0.06,0.00,0.00,1.40,0.61
Eeli Tolvanen,SEA,LW,0.33,0.44,0.77,-0.14,0.39,2.19,0.02,0.08,0.15,0.00,0.00,3.07,1.16
Alexei Toropchenko,STL,RW,0.09,0.10,0.19,-0.06,0.64,1.11,0.01,0.00,0.00,0.01,0.00,2.87,0.76
Jacob Trouba,ANA,D,0.06,0.23,0.28,-0.02,0.60,1.65,0.01,0.00,0.00,0.00,0.01,2.03,2.31
Tyler Tucker,STL,D,0.02,0.11,0.13,-0.05,2.04,0.96,0.00,0.00,0.00,0.00,0.01,2.31,1.08
Alex Turcotte,LAK,C,0.11,0.18,0.29,0.04,0.22,1.08,0.01,0.01,0.00,0.00,0.00,0.46,0.44
