PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID
1280148,"Jonas Rondbjerg",,W,DEN,TBD,,1057173,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,1280148,0,0,11.2,,,91948,1,1.15,1.15,69
1057210,"Malte Setkov",,D,DEN,TBD,,1057210,2,,,0.0475,0.1487,1.0968,0,0,0,0,0,0,0,0.1962,0,2.81,0,8.57,14,,1057210,0,1.98,,,,,1,4.5,6.33,70,
1166533,"Nicholas B. Jensen",,D,DEN,TBD,,1166533,2,,,0.0285,0.0892,0.6581,0,0,0,0,0,0,0,0.1177,0,1.68,0,7.3,0,,1166533,0,1.19,,,,,1,4.39,6.24,71
1166536,"Frederik Storm",,W,DEN,TBD,,1166536,4,,,0.064,0.074,0.5956,0,0,0,0,0,0,0,0.138,0,1.81,0,7.22,2.67,,1166536,0,1.28,,,,,1,4.23,5.97,72,
1172454,"Frederik Dichow",,G,DEN,TBD,,1172454,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,0,,1172454,0,0,,,,,1,0.58,0,73
1374309,"Mikkel Aagaard",,C,DEN,TBD,,1374309,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,13.67,,1374309,0,0,,,,,1,1.15,1.15,74,
1286327,"Mads Sogaard",,G,DEN,TBD,,1172229,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,20,,1286327,0,0,,,,92006,1,0.58,0,75,
16928,"Frederik Andersen",,G,DEN,TBD,,556379,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,0,,16928,0,0,,,,30976,1,0.58,0,76
34544,"Esa Lindell",4100,D,FIN,TBD,,680652,1,,,0.057,0.2207,1.0985,0,0,0,0,0,0,0,0.2777,0,3.26,0,9.47,0,,34544,0.906,2.78,19.7,,,30528,1,4.85,6.97,77,0.8
14130,"Mikael Granlund",6200,C,FIN,TBD,,550759,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,14130,0,0,,,,30288,1,1.15,1.15,78,0
37747,"Miro Heiskanen",5700,D,FIN,TBD,,1057101,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,37747,0,0,,,,82268,1,1.15,1.15,79,0
37746,"Roope Hintz",6700,C,FIN,TBD,,878170,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,37746,0,0,,,,37812,1,1.15,1.15,80,0
