PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
4200012,"Dylan Guenther",6400,W,UTA,COL,8402920,1321462,2,1,,0.3322,0.3167,2.6485,0.5746,0,0,0,0,0.1048,0.1054,0.6489,0.2102,9.85,1.54,8.05,11.36,182,1.51,20.15,0,,4200012,0.855,7.02,16.6,183,2005,165064,0
4900561,"Nate Danielson",2500,C,DET,DAL,8402810,1453000,3,2,,0.1176,0.1695,1.1862,0.3451,0,0,0,0,0.0252,0.0402,0.2871,0.0654,4.26,1.7,5.2,7.35,183,0,10.92,0,,4900561,0.655,3.28,11.3,172,2075,260555,1
37639,"Nico Hischier",6300,C,NJD,NYI,8402860,1057099,1,1,,0.3553,0.4627,2.3993,0.7767,0,0,0,0,0.0852,0.112,0.818,0.1972,10.72,1.7,8.5,12.17,184,1.91,21.6,0,,37639,0.714,7.61,19.8,155,1979,37901,0
4904615,"Emmitt Finnie",3600,W,DET,DAL,8402810,1453286,1,2,,0.2106,0.2962,1.8182,0.6471,0,0,0,0,0.0301,0.0487,0.5068,0.0788,7.26,2.02,6.65,9.43,185,0.37,15.77,0,,4904615,1.638,5.77,17.4,172,2075,278331,1
35856,"Keegan Kolesar",2500,W,VGK,SJS,8403010,878190,4,,,0.0962,0.1818,0.9422,0.4898,0,0,0,0,0,0,0.278,0,3.99,1.6,5.12,7.29,186,0,10.54,0,,35856,2.493,3.98,10.4,185,180961,30467,1
2298912,"JJ Peterka",5300,W,UTA,COL,8402920,1207612,1,1,,0.2977,0.3797,2.3535,0.3288,0,0,0,0,0.0763,0.1121,0.6774,0.1884,8.91,1.68,7.7,10.96,187,0.93,18.77,0,,2298912,0.51,6.34,18.6,183,2005,158555,0
4200335,"Matt Boldy",7800,W,MIN,NSH,8402850,1172193,2,1,,0.4479,0.5585,3.0837,0.7122,0,0,0,0,0.1386,0.2157,1.0064,0.3543,13.33,1.71,9.41,13.48,188,3.58,25.37,0,,4200335,0.683,9.24,20,178,1938,163195,1
17146,"Brandon Saad",2700,W,VGK,SJS,8403010,607591,2,,,0.2353,0.2304,1.735,0.3376,0,0,0,0,0,0,0.4657,0,6.48,2.4,6.46,9.11,189,0,14.75,0,,17146,0.364,4.59,13.8,185,180961,31002,1
36276,"Liam O'Brien",2500,W,UTA,COL,8402920,849162,4,,,0.0576,0.0772,0.8198,0.4221,0,0,0,0,0,0,0.1348,0,2.83,1.13,4.3,6.03,190,0,8.33,0,,36276,2.267,3.03,9.1,183,2005,30366,0
2575732,"Jeremy Swayman",7800,G,BOS,MTL,8402840,1057221,,,B,0,0,0,0,0.5455,22.3169,2.8476,0.0669,0,0,0,0,10.15,1.3,7.41,9.65,191,2.47,19.63,0,,2575732,0,8.12,,160,2153,161755,1
37779,"Nick Suzuki",6500,C,MTL,BOS,8402840,1057111,1,1,,0.3145,0.5649,2.0125,0.7508,0,0,0,0,0.0984,0.2319,0.8794,0.3303,10.15,1.56,8.18,11.9,192,1.68,20.62,0,,37779,0.818,7.48,20.7,162,2017,40159,0
1278929,"Jesper Boqvist",2500,W,FLA,CAR,8402830,1057144,3,2,,0.1326,0.192,1.0379,0.4818,0,0,0,0,0.0243,0.0406,0.3246,0.0649,4.49,1.8,5.16,7.33,193,0,11.09,0,,1278929,1.893,4.06,13,166,2047,91999,0
186959,"Eric Robinson",2500,W,CAR,FLA,8402830,1111033,3,,,0.1412,0.1661,1.1296,0.2613,0,0,0,0,0,0,0.3073,0,4.22,1.69,5.15,7.31,194,0,10.81,0,,186959,1.523,3.66,12.5,165,2181,39785,1
5245889,"Fedor Svechkov",2500,C,NSH,MIN,8402850,1321474,3,,,0.1017,0.1595,1.1249,0.3955,0,0,0,0,0,0,0.2612,0,4.05,1.62,5,7.04,195,0,10.45,0,,5245889,0.791,3.16,12.4,173,1959,165078,0
4904466,"Nick Lardis",2600,W,CHI,PHI,8402940,1453133,2,2,,0.1817,0.2242,1.4028,0.3015,0,0,0,0,0.0453,0.066,0.4059,0.1113,5.37,2.07,5.9,8.36,196,0,12.92,0,,4904466,1.2,4.35,12.4,170,2205,263552,1
4905196,"Hunter Brzustewicz",2500,D,CGY,EDM,8402880,1453144,3,2,,0.0397,0.1901,0.981,0.9957,0,0,0,0,0.0136,0.0366,0.2298,0.0502,4.47,1.79,4.78,6.77,197,0,10.59,0,,4905196,0.894,3.45,15,175,2134,260548,0
1283986,"Jordan Spence",2700,D,OTT,BUF,8402870,1172292,3,,,0.0544,0.2786,1.135,0.9154,0,0,0,0,0,0,0.333,0,5.15,1.91,5.15,7.44,198,0,11.74,0,,1283986,1.101,4.04,16.7,163,2050,91920,1
4200287,"Spencer Knight",7300,G,CHI,PHI,8402940,1172194,,,B,0,0,0,0,0.4762,23.8242,2.9025,0.0629,0,0,0,0,10.84,1.48,8.6,10.87,199,1.93,21.85,0,,4200287,0,8.44,,170,2205,162807,1
1144519,"Kaapo Kakko",3000,W,SEA,LAK,8402910,1166551,1,2,,0.1947,0.2497,1.852,0.4275,0,0,0,0,0.0355,0.0513,0.4444,0.0868,6.57,2.19,5.99,8.44,200,0.36,14.24,0,,1144519,0.758,4.87,17,1179,182467,88355,0
5296944,"Adam Klapka",2700,W,CGY,EDM,8402880,1386331,4,,,0.0992,0.1043,0.8433,0.5112,0,0,0,0,0,0,0.2035,0,3.51,1.3,4.99,7.03,201,0,9.9,0,,5296944,2.259,3.5,8.5,175,2134,246330,0
37747,"Miro Heiskanen",6100,D,DAL,DET,8402810,1057101,1,1,,0.1313,0.5251,2.1014,1.5483,0,0,0,0,0.0579,0.1626,0.6564,0.2205,9.89,1.62,7.16,10.45,202,2.47,19.05,0,,37747,0.623,6.96,25.7,181,1954,82268,0
35879,"David Rittich",7800,G,NYI,NJD,8402860,918210,,,C,0,0,0,0,0.4762,24.8782,3.0666,0.0534,0,0,0,0,11.1,1.42,8.6,10.87,203,2.19,22.11,0,,35879,0,8.58,,156,2135,31551,1
5484027,"Shane Wright",2800,C,SEA,LAK,8402910,1362197,3,2,,0.21,0.2324,1.4927,0.8365,0,0,0,0,0.044,0.0589,0.4424,0.1029,6.7,2.39,6.45,9.12,204,0.02,14.96,0,,5484027,0.808,4.97,14.6,1179,182467,204739,0
2555471,"Cole Smith",2500,W,NSH,MIN,8402850,1213994,4,,,0.0911,0.1359,1.0904,0.3853,0,0,0,0,0,0,0.227,0,3.77,1.51,5,7.04,205,0,10.17,0,,2555471,2.345,3.74,14,173,1959,161679,0
4628530,"Tye Kartye",2500,W,SEA,LAK,8402910,1345411,4,,,0.1022,0.1107,1.0146,0.5387,0,0,0,0,0,0,0.2129,0,3.87,1.55,5.02,7.07,206,0,10.3,0,,4628530,2.193,3.71,10.8,1179,182467,166696,0
5586948,"Ryker Evans",2600,D,SEA,LAK,8402910,1321596,3,2,,0.049,0.2252,0.9918,1.3693,0,0,0,0,0.0172,0.062,0.2742,0.0792,5.43,2.09,5.02,7.16,207,0.23,11.86,0,,5586948,1.294,4.24,18.3,1179,182467,165292,0
