PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
2439457,"Zeke Nnaji",,,DEN,MIN,156900,1193676,,8,1.6,0.96,0.35,0.11,0.2,0.17,0.16,1.95,2.56,2.91,0.33,1.31,0.93,0.44,0.41,0.6,0.39,1.34,0.55,4.07,4.07,3.94,0.58,8.35,0,0,0,0,2.19,3.94,5.69,8.76,9.63,15.76,0.20%,145,146,THURS,92620,48,2439457,
3588036,"Peyton Watson",,,DEN,MIN,156900,1326502,,30,13.42,4.87,1.2,1.28,1.37,1.4,0.58,14.62,18.29,19.49,1.98,6.07,7.22,3.53,3.65,3.66,2.51,10.87,4.81,25.63,25.63,25.24,18.2,32.96,1.16,1.16,13.15,18.14,22.09,25.24,28.13,32.86,35.23,44.7,0.33%,145,146,THURS,180124,49,3588036,
4878294,"Jalen Pickett",,,DEN,MIN,156900,1136567,,16,5.01,2.25,1.86,1.05,0.74,0.25,0.04,6.87,7.26,9.12,0.29,4.11,1.99,0.82,2.79,0.25,0.2,4.78,1.87,10.63,10.63,11.35,6.33,17.73,0,0,1.05,6.53,9.08,11.35,13.9,17.88,19.58,27.24,0.27%,145,146,THURS,87084,51,4878294,
4878295,"Julian Strawther",,,DEN,MIN,156900,1241584,,12,4.87,1.41,0.51,0.83,0.41,0.06,0.14,5.38,6.28,6.79,0.2,1.92,2.06,0.82,2.58,0.98,0.76,4.64,1.65,7.52,7.52,8.01,1.78,13.46,0,0,0.4,0,0,8.01,12.02,28.04,28.04,56.07,0.04%,145,146,THURS,149531,52,4878295,
4878296,"Hunter Tyson",,,DEN,MIN,156900,1132015,,4,1.79,1.03,0.19,0.32,0.06,0.08,0,1.98,2.82,3.01,0.08,1.22,0.71,0.25,1.1,0.42,0.34,1.81,0.57,3.49,3.49,3.65,0.81,7.23,0,0,0,1.56,2.61,3.65,4.69,6.26,6.65,6.95,0.04%,145,146,THURS,89546,53,4878296,
6863241,"Spencer Jones",,,DEN,MIN,156900,1176586,,27.5,8.98,3.76,1.48,1.36,0.93,0.56,0.42,10.46,12.74,14.22,0.98,5.24,4.11,1.8,3.95,1.76,1.3,8.06,3.16,17.72,17.72,18.08,11.6,25.45,0.16,0.16,7.6,11.56,15.12,18.08,21.04,25.49,27.27,36.75,0.27%,145,146,THURS,89746,55,6863241,
1079,"Stephen Curry",,,GSW,DAL,156898,338365,,33.5,28.56,4.98,4.57,5.3,2.96,1.26,0.31,33.13,33.54,38.11,1.57,9.55,8.4,3.84,13.34,5.38,4.96,21.74,9.14,43.14,43.14,46.12,33.57,60.27,0,0,26.51,32.28,32.28,32.28,32.28,32.28,32.28,32.28,0%,150,140,THURS,12231,61,1079,
13327,"Jimmy Butler",,,GSW,DAL,156898,458730,,33.5,22.62,5.08,4.62,0.91,1.26,1.04,0.23,27.24,27.7,32.32,1.27,9.7,10.59,5.41,2.36,10.78,9.07,12.95,6.32,38.2,38.2,38.46,25.71,53.21,0,0,22.17,26.92,26.92,26.92,26.92,26.92,26.92,26.92,0%,150,140,THURS,12346,62,13327,
13976,"Draymond Green",,,GSW,DAL,156898,468895,,29,10.07,7.43,4.4,1.43,2.2,1.19,1.04,14.47,17.5,21.9,2.23,11.83,5.01,2.13,4.4,2.24,1.5,9.41,3.56,30.08,30.08,30.21,21.12,40.58,0,0,24.26,21.15,21.15,21.15,21.15,21.15,21.15,21.15,0%,150,140,THURS,12401,63,13976,
35206,"Buddy Hield",,,GSW,DAL,156898,697086,,2,0.85,0.44,0.12,0.19,0.15,0.05,0.01,0.97,1.29,1.41,0.06,0.56,0.26,0.11,0.52,0.07,0.06,0.78,0.3,1.59,1.59,1.73,0.9,2.75,0,0,0,1.21,1.21,1.21,1.21,1.21,1.21,1.21,0%,150,140,THURS,27988,64,35206,
3005536,"Moses Moody",,,GSW,DAL,156898,1231366,,23,9.35,3.27,1.92,1.64,0.63,0.68,0.39,11.27,12.62,14.54,1.07,5.19,3.35,1.44,4.41,1.9,1.54,7.76,3.08,18.73,18.73,18.96,9.82,30.29,0,0,16.33,13.27,13.27,13.27,13.27,13.27,13.27,13.27,0%,150,140,THURS,149270,65,3005536,
3007111,"Jonathan Kuminga",,,GSW,DAL,156898,1271708,,1,0.57,0.27,0.1,0.05,0.09,0,0.01,0.67,0.84,0.94,0.01,0.37,0.32,0.15,0.15,0.19,0.14,0.47,0.2,0.98,0.98,1.15,0.73,1.65,0,0,0,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0%,150,140,THURS,165213,66,3007111,
3588138,"Gui Santos",,,GSW,DAL,156898,1391940,,8,2.55,1.98,0.65,0.41,0.51,0.53,0.02,3.2,4.53,5.18,0.55,2.63,0.93,0.43,1.23,0.63,0.46,2.16,0.84,7.04,7.04,7.05,3.67,11.23,0,0,0,4.94,4.94,4.94,4.94,4.94,4.94,4.94,0%,150,140,THURS,195274,67,3588138,
