PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
4687487,"Michael Wilson",,WR,ARI,ATL,147554,,0,0,0,0,0,0.01,0.04,0.01,10.85,6.73,78.55,0.55,18.57,18.53,15.16,78.59,0.56,0.04,0.01,78.59,0.56,0,10.51,30.68,19.6,50.44,18.05,19.97%,MAIN,1123529,42545,21,4687487,
4687678,"Jalen Brooks",,WR,ARI,ATL,147554,,0,0,0,0,0,0,0,0,3.7,1.94,25.39,0.19,5.62,5.6,4.63,25.39,0.19,0,0,25.39,0.19,0,1.62,13.45,1,19.06,3.19,3.14%,MAIN,1223301,171671,22,4687678,
6227658,"Tejhaun Palmer",,WR,ARI,ATL,147554,,0,0,0,0,0,0,0,0,0.24,0.14,1.76,0.01,0.38,0.37,0.3,1.76,0.01,0,0,1.76,0.01,0,0,0.76,0,0.34,0.16,0.04%,MAIN,1315586,167416,23,6227658,
1844275,"Josiah Deguara",,TE,ARI,ATL,147554,,0,0,0,0,0,0,0,0,0.05,0.04,0.34,0,0.07,0.07,0.05,0.34,0,0,0,0.34,0,0,0,0.14,,,0.02,0.01%,MAIN,866149,45301,24,1844275,
3492164,"Trey McBride",,TE,ARI,ATL,147554,,0,0,0,0,0,0,0,0,10.7,7.51,77,0.55,19.3,19.23,15.47,77,0.55,0,0,77,0.55,0,11.06,31.71,27.08,49.34,12.64,13.57%,MAIN,1108161,41195,25,3492164,
4687953,"Elijah Higgins",,TE,ARI,ATL,147554,,0,0,0,0,0,0,0,0,2.02,1.62,14.59,0.09,3.6,3.59,2.78,14.59,0.09,0,0,14.59,0.09,0,0,9.49,0.68,11.1,0.52,0.38%,MAIN,1161853,132184,26,4687953,
37028,"Pharaoh Brown",,TE,ARI,ATL,147554,,0,0,0,0,0,0,0,0,0.05,0.03,0.33,0,0.06,0.07,0.05,0.33,0,0,0,0.33,0,0,0,0.12,,,0.01,0.00%,MAIN,689689,33627,27,37028,
4688002,"Chad Ryland",,K,ARI,ATL,147554,,0,0,0,0,0,0,0,0,0,0,0,0,8.16,8.16,8.16,0,0,0,0,0,0,7.24,3.39,14.08,,,0,0.00%,MAIN,1108545,48407,28,4688002,
18416,"Atlanta Falcons",,DST,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0,0,0,0,7.35,7.35,7.35,0,0,0,0,0,0,0,2.07,14.58,7.14,41.38,5.35,7.82%,MAIN,323,8464,29,18416,
328097,"Lamar Jackson",,QB,BAL,NEP,147552,,28.54,18.72,219.97,1.58,0.56,6.25,29.4,0.28,0,0,0,0,19.47,19.41,19.41,249.37,1.86,249.37,1.86,29.4,0.28,0,12.32,27.9,,,0,0.00%,SNF,877745,62084,30,328097,
35530,"Derrick Henry",,RB,BAL,NEP,147552,,0,0,0,0,0,16.59,76.19,0.88,1.48,1.14,8.63,0.05,16.19,16.12,15.55,84.82,0.93,76.19,0.88,84.82,0.93,0,8.19,27.26,,,0,0.00%,SNF,732145,26360,31,35530,
4744211,"Keaton Mitchell",,RB,BAL,NEP,147552,,0,0,0,0,0,3.98,19.57,0.11,1.48,1.05,10.14,0.05,4.96,4.95,4.42,29.71,0.16,19.57,0.11,29.71,0.16,0,1.58,11.7,,,0,0.00%,SNF,1222789,140482,32,4744211,
6227728,"Rasheen Ali",,RB,BAL,NEP,147552,,0,0,0,0,0,0.27,1.12,0,3.12,2.04,18.02,0.11,4.61,4.6,3.58,19.14,0.11,1.12,0,19.14,0.11,0,0.71,10.76,,,0,0.00%,SNF,1229133,148325,33,6227728,
16563,"DeAndre Hopkins",,WR,BAL,NEP,147552,,0,0,0,0,0,0,0,0,2.13,1.3,16.72,0.17,3.99,3.98,3.33,16.72,0.17,0,0,16.72,0.17,0,0,10.97,,,0,0.00%,SNF,560241,3873,34,16563,
2861518,"Tylan Wallace",,WR,BAL,NEP,147552,,0,0,0,0,0,0,0,0,0.23,0.15,1.96,0.01,0.41,0.41,0.33,1.96,0.01,0,0,1.96,0.01,0,0,0.82,,,0,0.00%,SNF,1062546,46520,35,2861518,
2861521,"Rashod Bateman",,WR,BAL,NEP,147552,Q,0,0,0,0,0,0,0,0,2.89,1.78,23.4,0.14,4.97,4.96,4.07,23.4,0.14,0,0,23.4,0.14,0,0.95,11.53,,,0,0.00%,SNF,1108208,44328,36,2861521,
4687538,"Zay Flowers",,WR,BAL,NEP,147552,,0,0,0,0,0,0.64,3.43,0.01,7.43,4.94,63.44,0.4,14.5,14.47,12,66.87,0.41,3.43,0.01,66.87,0.41,0,7.41,25.61,,,0,0.00%,SNF,1177053,136555,37,4687538,
6227729,"Devontez Walker",,WR,BAL,NEP,147552,,0,0,0,0,0,0,0,0,0.4,0.25,3.2,0.02,0.69,0.69,0.56,3.2,0.02,0,0,3.2,0.02,0,0,1.38,,,0,0.00%,SNF,1277914,140381,38,6227729,
328096,"Mark Andrews",,TE,BAL,NEP,147552,,0,0,0,0,0,1.16,1.33,0.01,5,3.37,38.5,0.34,9.48,9.44,7.75,39.83,0.35,1.33,0.01,39.83,0.35,0,3.56,19.58,,,0,0.00%,SNF,820699,40601,39,328096,
3491347,"Charlie Kolar",,TE,BAL,NEP,147552,,0,0,0,0,0,0,0,0,0.65,0.47,5.84,0.04,1.29,1.29,1.05,5.84,0.04,0,0,5.84,0.04,0,0,2.58,,,0,0.00%,SNF,1058648,63283,40,3491347,
3491355,"Isaiah Likely",,TE,BAL,NEP,147552,,0,0,0,0,0,0,0,0,3.72,2.53,28.57,0.25,6.88,6.86,5.59,28.57,0.25,0,0,28.57,0.25,0,2.39,16.02,,,0,0.00%,SNF,1125111,126944,41,3491355,
8228349,"Tyler Loop",,K,BAL,NEP,147552,,0,0,0,0,0,0,0,0,0,0,0,0,8.67,8.67,8.67,0,0,0,0,0,0,7.7,4.01,14.77,,,0,0.00%,SNF,n/a,147914,42,8228349,
18432,"New England Patriots",,DST,NEP,BAL,147552,,0,0,0,0,0,0,0,0,0,0,0,0,5.37,5.37,5.37,0,0,0,0,0,0,0,0.48,11.29,,,0,0.00%,SNF,348,8481,43,18432,
328331,"Josh Allen",,QB,BUF,CLE,147547,,28.95,19,212.36,1.81,0.67,8.44,38.99,0.54,0,0,0,0,22.54,22.47,22.47,251.35,2.35,251.35,2.35,38.99,0.54,0,14.29,32.46,13.1,61.74,5.21,7.70%,MAIN,868199,58465,44,328331,
982111,"Ty Johnson",,RB,BUF,CLE,147547,,0,0,0,0,0,2.42,10.49,0.06,2.78,1.9,19.57,0.13,6.04,6.03,5.08,30.06,0.19,10.49,0.06,30.06,0.19,0,1.78,13.86,1.1,13.66,0.51,0.38%,MAIN,877784,68741,45,982111,
3491576,"James Cook",,RB,BUF,CLE,147547,,0,0,0,0,0,17.78,84.13,0.64,3.22,2.32,20.64,0.15,18.56,18.47,17.31,104.77,0.79,84.13,0.64,104.77,0.79,0,9.91,29.01,13.02,43.58,11.15,13.31%,MAIN,1131012,58170,46,3491576,
6227753,"Ray Davis",,RB,BUF,CLE,147547,,0,0,0,0,0,0.42,1.53,0,0.45,0.33,3.17,0.02,0.92,0.92,0.75,4.7,0.02,1.53,0,4.7,0.02,0,0,1.84,0,0.56,0,0.00%,MAIN,1165229,93411,47,6227753,
2862340,"Josh Palmer",,WR,BUF,CLE,147547,,0,0,0,0,0,0,0,0,2.43,1.62,18.45,0.19,4.6,4.59,3.78,18.45,0.19,0,0,18.45,0.19,0,0.13,12.6,0.58,12.5,1.02,0.84%,MAIN,1059612,66181,48,2862340,
3491575,"Khalil Shakir",,WR,BUF,CLE,147547,,0,0,0,0,0,0.11,0.61,0,5.02,3.55,38.37,0.4,10,9.98,8.2,38.98,0.4,0.61,0,38.98,0.4,0,4.24,19.33,8,33.06,5.12,7.86%,MAIN,1130603,55222,49,3491575,
6227754,"Keon Coleman",,WR,BUF,CLE,147547,,0,0,0,0,0,0,0,0,2.32,1.36,16.03,0.18,4.04,4.03,3.35,16.03,0.18,0,0,16.03,0.18,0,0,11.11,0.46,9.72,0.72,0.28%,MAIN,1322431,170256,50,6227754,
4744237,"Tyrell Shavers",,WR,BUF,CLE,147547,,0,0,0,0,0,0,0,0,1.41,0.88,10.05,0.11,2.54,2.54,2.1,10.05,0.11,0,0,10.05,0.11,0,0,6.99,0.2,9.6,0.58,0.20%,MAIN,973949,63556,51,4744237,
18281,"Brandin Cooks",,WR,BUF,CLE,147547,,0,0,0,0,0,0,0,0,1.77,1.1,12.65,0.14,3.2,3.2,2.65,12.65,0.14,0,0,12.65,0.14,0,0,8.8,0.16,9.22,0.45,0.22%,MAIN,607864,2255,52,18281,
982202,"Dawson Knox",,TE,BUF,CLE,147547,,0,0,0,0,0,0,0,0,3.22,2.08,23.3,0.16,5.36,5.34,4.3,23.3,0.16,0,0,23.3,0.16,0,0.89,13.16,2.24,14.34,0.51,0.67%,MAIN,884083,61345,53,982202,
4687560,"Dalton Kincaid",,TE,BUF,CLE,147547,,0,0,0,0,0,0,0,0,5.24,3.61,37.9,0.26,8.97,8.94,7.13,37.9,0.26,0,0,37.9,0.26,0,3.72,17.84,5.58,22.18,1.69,1.61%,MAIN,1135513,170729,54,4687560,
8228372,"Jackson Hawes",,TE,BUF,CLE,147547,,0,0,0,0,0,0,0,0,1.09,0.73,7.96,0.05,1.82,1.82,1.45,7.96,0.05,0,0,7.96,0.05,0,0,3.64,0.14,4.06,0.1,0.03%,MAIN,1182649,146678,55,8228372,
328489,"Michael Badgley",,K,BUF,CLE,147547,,0,0,0,0,0,0,0,0,0,0,0,0,8.53,8.53,8.53,0,0,0,0,0,0,7.58,3.67,14.67,,,0,0.00%,MAIN,830894,40281,56,328489,
