,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Jaden Ivey,DET,POR,G,16.00000,9.79181,2.37325,2.03411,0.69383,0.19983,1.45578,3.30328,7.55444,43.7,1.26386,3.43418,36.8,1.92138,2.49730,76.9,0.76567,1.60758
GG Jackson,MEM,OKC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Isaiah Jackson,IND,BOS,C,14.00000,5.34731,4.54561,0.32844,0.51226,1.05703,0.93723,2.04743,3.94346,51.9,0.13151,0.44867,29.3,1.12093,1.66600,67.3,1.81691,2.72871
Jaren Jackson,MEM,OKC,F,34.00000,22.41129,7.83803,2.98067,1.21809,1.51520,3.13739,7.98526,17.88169,44.7,1.83226,5.47945,33.4,4.60852,5.97955,77.1,1.87594,5.96209
Quenton Jackson,IND,BOS,G,20.00000,9.22494,2.72467,2.36250,0.80201,0.20766,0.63179,2.98383,6.79746,43.9,1.59087,4.63838,34.3,1.66641,2.15263,77.4,0.82759,1.89709
Trayce Jackson-Davis,GSW,ORL,C,13.00000,5.02524,4.16321,0.81635,0.31005,0.69315,0.61046,2.13411,3.46316,61.6,0.03677,0.11600,31.7,0.72026,1.16986,61.6,1.20553,2.95768
Sion James,CHA,CLE,F,18.00000,5.38927,2.46911,1.51423,0.58146,0.27696,0.54515,1.84308,4.03753,45.6,0.76599,2.05301,37.3,0.93714,1.13534,82.5,0.80108,1.66804
Daniss Jenkins,DET,POR,G,5.00000,2.61286,0.65947,0.86364,0.31150,0.01762,0.40798,0.91800,2.09637,43.8,0.29770,0.84530,35.2,0.47916,0.59509,80.5,0.23066,0.42881
Ty Jerome,MEM,OKC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Isaiah Joe,OKC,MEM,G,18.00000,8.20302,2.89472,1.45272,0.51010,0.13100,0.62831,2.83230,6.53193,43.4,1.86261,4.76253,39.1,0.67580,0.83688,80.8,0.38181,2.51292
Cameron Johnson,DEN,UTA,F,34.00000,16.78214,4.78181,2.35426,0.91020,0.32556,1.20175,5.79400,11.59920,50.0,2.65981,6.52221,40.8,2.53433,2.97147,85.3,0.86805,3.91376
Nikola Jokic,DEN,UTA,C,36.00000,29.46388,14.23909,9.12860,1.53283,0.87733,3.09152,10.97144,18.35010,59.8,2.01203,5.02902,40.0,5.50897,6.89532,79.9,3.07112,11.16796
Curtis Jones,DEN,UTA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Herbert Jones,NOP,DAL,F,27.00000,10.10834,4.59167,2.11215,1.31820,0.44945,1.12566,3.70513,8.25800,44.9,1.15332,3.41575,33.8,1.54476,1.91125,80.8,1.37354,3.21813
Isaac Jones,DET,POR,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kam Jones,IND,BOS,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Spencer Jones,DEN,UTA,F,23.00000,7.48117,3.79022,1.32037,0.91165,0.25043,2.16077,2.64197,6.41766,41.2,1.18467,3.35101,35.4,1.01256,1.55625,65.1,1.75890,2.03131
Tyus Jones,ORL,GSW,G,20.00000,7.68516,2.34830,3.60785,0.87265,0.05820,0.67962,3.02277,6.78390,44.6,0.94236,2.57455,36.6,0.69727,0.81583,85.5,0.28605,2.06225
DeAndre Jordan,NOP,DAL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Ryan Kalkbrenner,CHA,CLE,C,25.00000,8.58196,8.07958,0.71109,0.78242,1.71711,1.52276,3.47673,5.41284,64.2,0.11249,0.38309,29.4,1.51601,1.98607,76.3,3.64079,4.43879
Miles Kelly,DAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Walker Kessler,UTA,DEN,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Bobi Klintman,DET,POR,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kon Knueppel,CHA,CLE,F,34.00000,14.97683,5.55818,3.21529,0.96987,0.24185,2.78905,5.09383,11.13030,45.8,2.10874,5.50633,38.3,2.68043,3.00343,89.2,1.17566,4.38252
John Konchar,MEM,OKC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
